pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url
2015-10-01,Application of Mobile Games to Support Clinical Data Collection for Patients with Niemann-Pick Disease,IEEE 28th International Symposium on Computer-Based Medical Systems,"Authors: Richard O. Sinnott, Jun Han, William Hu, Xiaoxiao Ma, Kuai Yu", ,paper-title-number-1,https://ieeexplore.ieee.org/abstract/document/7167444,
2022-03-01,Deep Multi-Attributed-View Graph Representation Learning,IEEE Transactions on Network Science and Engineering,"Authors: Xiaoxiao Ma, Shan Xue, Jia Wu, Jian Yang, Cecile Paris, Surya Nepal, and Quan Z. Sheng", ,paper-title-number-2,https://ieeexplore.ieee.org/document/9782548,
2021-10-01,A Comprehensive Survey on Graph Anomaly Detection with Deep Learning,IEEE Transactions on Knowledge and Data Engineering,"Authors: Xiaoxiao Ma, Jia Wu, Shan Xue, Jian Yang, Chuan Zhou, Quan Z. Sheng, Hui Xiong, Leman Akoglu", ,paper-title-number-3,https://ieeexplore.ieee.org/abstract/document/9565320,
2022-11-01,DAGAD: Data Augmentation for Graph Anomaly Detection,ICDM,"Authors: *Fanzhen Liu, *Xiaoxiao Ma, Jia Wu, Jian Yang, Shan Xue, Amin Beheshti, Chuan Zhou, Hao Peng, Quan Z. Sheng, Charu C. Aggarwal", ,Paper-title-number-4,https://arxiv.org/pdf/2210.09766.pdf,
2023-01-01,Knowledge Graph Enhanced Heterogeneous Graph Neural Network for Fake News Detection,IEEE Transactions on Consumer Electronics,"Authors: *Bingbing Xie, *Xiaoxiao Ma, Jia Wu, Jian Yang, Hao Fan", ,paper-title-number-5, ,
2023-05-01,Heterogeneous Hypergraph Neural Network for Social Recommendation using Attention Network,ACM Transactions on Recommender Systems,"Authors: Bilal Khan, Jia Wu, Jian Yang, Xiaoxiao Ma", ,paper-title-number-6, ,
2023-08-01,Heterogeneous Graph Neural Network via Knowledge Relations for Fake News Detection,SSDBM,"Authors: *Bingbing Xie, *Xiaoxiao Ma, Jia Wu, Jian Yang, Shan Xue, Hao fan", ,paper-title-number-7, ,
2023-11-01,Heterogeneous Subgraph Transformer for Fake News Detection,WebConf,"Authors: *Yuchen Zhang, *Xiaoxiao Ma, Jia Wu, Jian Yang, Hao Fan", ,paper-title-number-8,https://dl.acm.org/doi/abs/10.1145/3589334.3645680,
2023-08-01,Towards Graph-level Anomaly Detection via Deep Evolutionary Mapping,KDD,"Authors: Xiaoxiao Ma, Jia Wu, Jian Yang, Quan Z. Sheng", ,paper-title-number-9,https://dl.acm.org/doi/abs/10.1145/3580305.3599524,
2024-08-01,Divide and Denoise: Empowering Simple Models for Robust Semi-Supervised Node Classification against Label Noise,KDD,"Authors: *Kaize Ding, *Xiaoxiao Ma, Yixin Liu, Shirui Pan", ,paper-title-number-10,https://dl.acm.org/doi/abs/10.1145/3637528.3671798,
2024-07-01,Graph Anomaly Detection with Few Labels: A Data-Centric Approach,KDD,"Authors: *Xiaoxiao Ma, Ruikun Li, Fanzhen Liu, Kaize Ding, Jian Yang, Jia Wu", ,paper-title-number-11,https://dl.acm.org/doi/abs/10.1145/3637528.3671929,
2024-11-01,On Fake News Detection with LLM Enhanced Semantics Mining,EMNLP,"Authors: *Xiaoxiao Ma, Yuchen Zhang, Kaize Ding, Jian Yang, Jia Wu, Hao Fan", ,paper-title-number-12,https://aclanthology.org/2024.emnlp-main.31/,
2024-12-01,Rethinking Unsupervised Graph Anomaly Detection with Deep Learning: Residuals and Objectives,IEEE Transactions on Knowledge and Data Engineering,"Authors: *Xiaoxiao Ma, *Fanzhen Liu, Jia Wu, Jian Yang, Quan Z. Sheng", ,Paper-title-number-13,https://ieeexplore.ieee.org/abstract/document/10756792,
